index, formula
1, p v ~((q v (q & ~r)) & (((s v t) v ~q) & (t & p)))
2, (p v (q v ((r & ((~(r & p) & (r v s)) & q)) v q))) v t
3, p v (~(~(q & (~r & ((s & r) & s))) v t) & (q v t))
4, ~(~p & q) & ~(p v ((p & (r & (s & q))) v (t v t)))
5, ~(~((~(p v q) & p) v ~r) v (s v ~(r v t))) & p
6, ((p & q) v (p & ((r & (r & (~q v q))) & s))) & (s & t)
7, (p & q) & ((r v (s & (r v ~p))) & ((s v p) & (t & q)))
8, (p v q) & ((~(r & ~s) v (r & ~(s & (t & p)))) v t)
9, (~p v (q & (q & ~((p v (~r & (s & q))) & s)))) & t
10, (((p v q) v (q v r)) v ((q & s) v p)) v (s v (p & ~t))
11, ((p & q) v p) v ((~p & (((r & s) v p) v (q & r))) & t)
12, p v ~((~((q & (q v r)) & s) & (s v (t v ~p))) v r)
13, (p v (q & r)) v ((q & s) v ~~((q & ~(r v t)) & r))
14, ~(~((~(p v (q v q)) v (r & (r v p))) & s) v (t v q))
15, p & ((((~q v (r v r)) & ~s) & ~(q v (s & t))) v q)
16, p & (q v (((r v s) v ~((p & t) & (p v p))) v (p & t)))
17, ~((p & (~q v r)) v (s & ((~t & r) & (r v (s & t)))))
18, p & (q v ((r & r) & (~s & (t & (q v ((r & q) v q))))))
19, ~(((((p & q) v r) & (s & (q v (q & q)))) v t) v (q & p))
20, (p v (q v r)) & ((s v r) & (~(r v (p & (s & q))) & t))
21, ~(((p v q) v r) & ((s & (s & ((r v r) & (r v q)))) & t))
22, ((p v ((q v r) & p)) & ~(s & (t v (p v p)))) v (t & p)
23, ~((p & (q & (~(q & r) v s))) & ~((t & (s v p)) v q))
24, ((p v q) v (r & (q & (~q v ((s & p) & t))))) & (p & t)
25, ((((((p & q) v r) & q) v r) v ~(s & (t & q))) & s) & s
26, (~~p v ((q & r) & p)) v (((~s & p) & s) v (t & q))
27, ((((~p & (q v ((p & r) & r))) v s) v (s & t)) v p) & t
28, (~p & ((q & r) & s)) v (((~(t v ~p) & r) v s) v s)
29, p v ((~~~q v (r & q)) v (((q v s) & (s & t)) & q))
30, p v (((((q v p) v (r & ((s v t) & r))) v q) v ~s) v t)
31, ~(~(p & q) & ((r & ~s) & (((r v s) & q) & (t & t))))
32, p & (q v ((r v q) v (q & ((~p v ~~s) & (t v t)))))
33, p v ((~(q & r) & (p v ((p v r) & (s & (s v s))))) & t)
34, p v ((((q v ~(p v r)) v ~(s v t)) & s) v ~(t & q))
35, (p & (~q & r)) & (r & ((s & (t & ~q)) & ~(s & r)))
36, (((p v q) & r) v (p & s)) & (t & ((s & ~s) v (s & t)))
37, ((p & ((~(p v q) v r) & s)) & (~t v (q v ~s))) v r
38, ~p v ((q & r) & ((s v ((t v p) v ((q v p) & r))) & p))
39, ((((p & q) v r) v p) v (p v ((~p v q) v (r & s)))) v t
40, p & (((~q & r) v ((s v t) & t)) & ((~p v ~q) v t))
41, (~(p & q) v ~~(((p v r) v q) & s)) & ((t & r) v s)
42, p & ~((((q & r) & (s v (q v t))) v (~t v r)) & ~t)
43, (~p & (q & r)) v ((q v ~s) v ((r & (p v ~s)) & t))
44, p & ((p & (~((~q v ~~r) & r) & (q v ~s))) v t)
45, (~p & (q & r)) & (s & (t & (~((p & q) v t) v ~r)))
46, p v ~((q v (p & (q & r))) & (((r v (s & t)) & t) v s))
47, (((p v q) & (r v r)) v (r v (r v s))) & ((q & ~t) & q)
48, (~p v (((q & ~(p v p)) & (q v (r v s))) v ~s)) & t
49, (p & ((q v (r & (s v q))) & t)) & ((s & q) & (t & ~t))
50, ~((p & q) & ((~p & p) v (~q v (r v (s v (p v t))))))
51, ((((~p & q) v q) v (~~~~(r v s) v p)) v p) & t
52, (((p & ~(~~q v r)) & (p v p)) v (~~p & s)) & t
53, p & (q & ((r & ~~(p v s)) v (q v (t & ~(q v s)))))
54, (((~(p & ~q) & ((q v ~r) v ~~p)) & s) v q) & t
55, ((~p & (~(q & r) & ((s v s) & (p & ~t)))) v p) v q
56, p v (((~(q v ~p) v r) v ~s) & (((t v s) & t) v r))
