formula, alpha, beta, fmi
p -> ~((q v (q & ~r)) & (((s v t) -> ~q) -> (t v p))), 8, 5, 0.5555556
(p & ~q) & ((~((~(q & r) & (p v s)) & t) -> r) v q), 5, 6, 0.5555556
~((p v (q -> q)) -> (r & ((p -> ((p -> (r & s)) -> t)) v t))), 6, 9, 0.5
(p v ~(p v ((q & ((r v ~s) v q)) -> ~(t -> p)))) v s, 4, 8, 0.5555556
(p & q) & (((~r v ~((p v (q & ~s)) -> t)) v p) -> r), 6, 4, 0.5555556
(p v q) -> ((r & p) v (p v ~(p v (~s & ~(s -> t))))), 8, 6, 0.5555556
((p v ~(q & ((q -> p) & ((q -> r) -> p)))) v (s & t)) & q, 9, 6, 0.5
(p v (q & (((~r & s) v t) & r))) v (q v (p v (t & p))), 8, 6, 0.5
(p -> q) v (p v ((r & s) -> (r v (t & ((r & r) & ~r))))), 4, 7, 0.5
p & ~(~~(q & ((r & ~(s & (p v s))) v ~t)) & s), 4, 5, 0.625
p -> (((((q v ((r v r) -> r)) & r) v (s -> ~t)) & p) -> q), 5, 6, 0.5
p -> (((((q v p) & q) v ~(r -> p)) & (s -> q)) -> (t -> p)), 6, 8, 0.5
(~((p & ~((q -> p) & r)) v p) -> s) v (t v (s & ~q)), 6, 6, 0.5555556
p v ((((q & r) v (s v (t v t))) -> ((t & ~t) -> r)) v t), 4, 7, 0.5
(p v (q & ~r)) & (((~s & s) v ~((s & s) v p)) v t), 6, 8, 0.5555556
~(((p v (q -> q)) -> q) v ((q v (r & s)) -> p)) v (t v r), 5, 8, 0.5
~~~(p & (q v ((r v s) -> s))) & (p v ((p & s) -> t)), 4, 12, 0.5555556
p & (~((p v (q & (r -> ~s))) -> (~r -> (s & t))) -> p), 7, 5, 0.5555556
(p v q) v ((q & (((r v (r v p)) -> (s v ~t)) v q)) -> s), 4, 7, 0.5
(p & ~(((p v q) v r) v s)) v ((s & ~(t & t)) & ~s), 15, 3, 0.5555556
~(((p v (q -> (r -> ~s))) v r) -> ((s -> s) & ~t)) & r, 4, 10, 0.5555556
p v (q & ((r v s) & ((~s v t) & (((p & p) v r) v q)))), 5, 13, 0.5
~(((p v p) -> q) -> (r & ((q -> (s v ((q -> t) v s))) & q))), 7, 6, 0.5
(p v q) & (((~r -> (s -> q)) -> p) v (s v ((q -> t) & t))), 7, 10, 0.5
p & (~~q -> (~p & ((((p & (r v s)) -> t) v t) v p))), 4, 6, 0.5555556
(p -> q) & (~(((r -> (s & t)) v s) -> s) v ~~(p v q)), 4, 10, 0.5555556
~(p & ((q -> r) & ~~s)) & ((t -> ((r -> s) v p)) v t), 3, 15, 0.5555556
