formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4444}{55555555}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4445}{55555544}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4454}{55554455}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4455}{55554444}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4422}{55555555}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4425}{55555522}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4452}{55552255}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4455}{55552222}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4444}{55552222}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4442}{55552244}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4424}{55554422}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4422}{55554444}{3333333333333333}}, False, 54, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4544}{55445555}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4545}{55445544}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4554}{55444455}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{4555}{55444444}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4522}{55445555}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4525}{55445522}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4552}{55442255}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{4555}{55442222}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4544}{55442222}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4542}{55442244}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4524}{55444422}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{4522}{55444444}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5444}{44555555}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5445}{44555544}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5454}{44554455}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5455}{44554444}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5422}{44555555}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5425}{44555522}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5452}{44552255}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5455}{44552222}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5444}{44552222}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5442}{44552244}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5424}{44554422}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5422}{44554444}{3333333333333333}}, False, 49, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5544}{44445555}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5545}{44445544}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5554}{44444455}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{22}{5555}{44444444}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5522}{44445555}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5525}{44445522}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5552}{44442255}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{24}{5555}{44442222}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5544}{44442222}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5542}{44442244}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5524}{44444422}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{25}{5522}{44444444}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2244}{55555555}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2245}{55555544}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2254}{55554455}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2255}{55554444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2222}{55555555}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2225}{55555522}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2252}{55552255}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2255}{55552222}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2244}{55552222}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2242}{55552244}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2224}{55554422}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2222}{55554444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2544}{55225555}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2545}{55225544}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2554}{55224455}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2555}{55224444}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2522}{55225555}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2525}{55225522}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2552}{55222255}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2555}{55222222}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2544}{55222222}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2542}{55222244}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2524}{55224422}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2522}{55224444}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5244}{22555555}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5245}{22555544}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5254}{22554455}{3333333333333333}}, False, 52, 9
