formula, is_tautology
p v ~((q v (q & ~r)) & (((s v t) v ~q) & (t & p))), True

(p v (q v ((r & ((~(r & p) & (r v s)) & q)) v q))) v t, False

p v (~(~(q & (~r & ((s & r) & s))) v t) & (q v t)), False

~(~p & q) & ~(p v ((p & (r & (s & q))) v (t v t))), False

~(~((~(p v q) & p) v ~r) v (s v ~(r v t))) & p, False

((p & q) v (p & ((r & (r & (~q v q))) & s))) & (s & t), False

(p & q) & ((r v (s & (r v ~p))) & ((s v p) & (t & q))), False

(p v q) & ((~(r & ~s) v (r & ~(s & (t & p)))) v t), False

(~p v (q & (q & ~((p v (~r & (s & q))) & s)))) & t, False

(((p v q) v (q v r)) v ((q & s) v p)) v (s v (p & ~t)), False

((p & q) v p) v ((~p & (((r & s) v p) v (q & r))) & t), False

p v ~((~((q & (q v r)) & s) & (s v (t v ~p))) v r), False

(p v (q & r)) v ((q & s) v ~~((q & ~(r v t)) & r)), False

~(~((~(p v (q v q)) v (r & (r v p))) & s) v (t v q)), False

p & ((((~q v (r v r)) & ~s) & ~(q v (s & t))) v q), False

p & (q v (((r v s) v ~((p & t) & (p v p))) v (p & t))), False

~((p & (~q v r)) v (s & ((~t & r) & (r v (s & t))))), False

p & (q v ((r & r) & (~s & (t & (q v ((r & q) v q)))))), False

~(((((p & q) v r) & (s & (q v (q & q)))) v t) v (q & p)), False

(p v (q v r)) & ((s v r) & (~(r v (p & (s & q))) & t)), False

~(((p v q) v r) & ((s & (s & ((r v r) & (r v q)))) & t)), False

((p v ((q v r) & p)) & ~(s & (t v (p v p)))) v (t & p), False

~((p & (q & (~(q & r) v s))) & ~((t & (s v p)) v q)), True

((p v q) v (r & (q & (~q v ((s & p) & t))))) & (p & t), False

((((((p & q) v r) & q) v r) v ~(s & (t & q))) & s) & s, False

(~~p v ((q & r) & p)) v (((~s & p) & s) v (t & q)), False

((((~p & (q v ((p & r) & r))) v s) v (s & t)) v p) & t, False

(~p & ((q & r) & s)) v (((~(t v ~p) & r) v s) v s), False

p v ((~~~q v (r & q)) v (((q v s) & (s & t)) & q)), False

p v (((((q v p) v (r & ((s v t) & r))) v q) v ~s) v t), False

~(~(p & q) & ((r & ~s) & (((r v s) & q) & (t & t)))), False

p & (q v ((r v q) v (q & ((~p v ~~s) & (t v t))))), False

p v ((~(q & r) & (p v ((p v r) & (s & (s v s))))) & t), False

p v ((((q v ~(p v r)) v ~(s v t)) & s) v ~(t & q)), False

(p & (~q & r)) & (r & ((s & (t & ~q)) & ~(s & r))), False

(((p v q) & r) v (p & s)) & (t & ((s & ~s) v (s & t))), False

((p & ((~(p v q) v r) & s)) & (~t v (q v ~s))) v r, False

~p v ((q & r) & ((s v ((t v p) v ((q v p) & r))) & p)), False

((((p & q) v r) v p) v (p v ((~p v q) v (r & s)))) v t, True

p & (((~q & r) v ((s v t) & t)) & ((~p v ~q) v t)), False

(~(p & q) v ~~(((p v r) v q) & s)) & ((t & r) v s), False

p & ~((((q & r) & (s v (q v t))) v (~t v r)) & ~t), False

(~p & (q & r)) v ((q v ~s) v ((r & (p v ~s)) & t)), False

p & ((p & (~((~q v ~~r) & r) & (q v ~s))) v t), False

(~p & (q & r)) & (s & (t & (~((p & q) v t) v ~r))), False

p v ~((q v (p & (q & r))) & (((r v (s & t)) & t) v s)), False

(((p v q) & (r v r)) v (r v (r v s))) & ((q & ~t) & q), False

(~p v (((q & ~(p v p)) & (q v (r v s))) v ~s)) & t, False

(p & ((q v (r & (s v q))) & t)) & ((s & q) & (t & ~t)), False

~((p & q) & ((~p & p) v (~q v (r v (s v (p v t)))))), False

((((~p & q) v q) v (~~~~(r v s) v p)) v p) & t, False

(((p & ~(~~q v r)) & (p v p)) v (~~p & s)) & t, False

p & (q & ((r & ~~(p v s)) v (q v (t & ~(q v s))))), False

(((~(p & ~q) & ((q v ~r) v ~~p)) & s) v q) & t, False

((~p & (~(q & r) & ((s v s) & (p & ~t)))) v p) v q, False

p v (((~(q v ~p) v r) v ~s) & (((t v s) & t) v r)), False

(p & p) & ((q v (p v (((r & (s v t)) & ~r) & t))) & p), False

p & ((q v ((r & (r & (s & ~(r & (t v s))))) & t)) & s), False

(p v (q & r)) & ((((~s & q) & p) & (t & (t v q))) v r), False

~(p v q) & (p & (((r v (q v r)) v (s v (p v t))) & p)), False

p v ((~(q & ~((r v q) v s)) & (t v s)) & ~(p & s)), False

(p v ~(q v p)) & ~((q & (r & ((p & s) v t))) v ~t), False

((p v (q v ~~~(~q v ~r))) & s) v (q & (q v t)), False

(p v (q v (q & ~(r & (p v s))))) v (r & ((t v r) & p)), False

(p & ((q v (r v p)) v s)) v ~~~((s v (s & t)) v t), False

~((((p v ~q) v (r v ~s)) v t) v (s & ((p & p) & t))), False

~((p & (q & ~r)) & (r v (~s & (r v (t & t))))) v s, False

~((p v (q & (((q & q) v r) v s))) & ((s v t) & (p v t))), False

(~(p & q) & (q v ~r)) v (s v ((r & (q v t)) & ~t)), False

((((p v q) & ((r & s) & (s & q))) & q) & t) v (s v ~s), True

(p & ~((q & (r v s)) v (s & q))) v (r & (t v (q & s))), False

(p & p) v ((q v (r & ~(s v t))) & (r & (r & (r v p)))), False

~((p v p) & ~((((q & r) & s) & q) & ((t v ~s) & p))), False

~(p & q) & ((~r v ((p & (s v t)) v t)) & (~s v s)), False

p & ~((q & ~~((r v s) & (~t & (s v ~r)))) v q), False

(p & ~~((q v ~~r) v q)) v (s v ((t v t) v ~t)), True

((p v ((q & ((r v (s v t)) & s)) v t)) v (~t v s)) v r, True

~((p v (((q v ((q & r) v ~(s v q))) & t) v r)) & ~q), False

p & ((p & ((q & p) v ((~((r & r) & s) v q) v q))) & t), False

~(~(p & (q & (((r & r) v p) & ~~s))) & p) & ~t, False

((p v ~q) v ((r & p) & (p & ((s v t) & (t & q))))) & t, False

~p & ((q & ((~r & s) & (r v t))) & (s v ~(q v s))), False

~(p v (q & (~~r & (s & q)))) v (p & (~t & ~s)), False

(((~~p & q) v (r v (s v (r v r)))) v p) v ~(t v q), False

(p v q) & (~((r & ~q) v (((s & q) & t) v ~q)) & q), False

p & ((~(~q & ~(r v p)) & (s v (t v q))) & ~~q), False

p v (((~q & ((q & (~p v r)) & r)) v ~s) & (s v t)), False

~(~p v ~~(q & ~(~(r v s) v ((s & t) v ~q)))), False

p v ((q v r) v (~((s & t) v ~(q & r)) & (~r & t))), False

(((p & ~q) & (p & p)) v (((r v q) & ~p) v s)) & ~t, False

((~p v (q & ((p & ~~r) & s))) & t) v (q & (q v r)), False

((p v ((q v (r & r)) v r)) & (s v ((t v t) v ~r))) v s, False

p v (q v (r v ~((q v ~s) v (~(t v t) v (r & t))))), False

((((p & (q v ~(~p & (r & ~p)))) v p) v s) & t) & q, False

((~p v p) & (q v ~r)) & (s & ((t & p) v ~(s v r))), False

