formula, is_tautology
p v ~((q & (q -> ~r)) -> (((s & t) v ~q) v (t & p))), False

(p -> ~q) -> ((~((~(q -> r) -> (p & s)) -> t) v r) & q), False

~((p & (q v q)) v (r -> ((p v ((p v (r -> s)) v t)) & t))), False

(p & ~(p & ((q -> ((r & ~s) & q)) v ~(t v p)))) & s, False

(p -> q) -> (((~r & ~((p & (q -> ~s)) v t)) & p) v r), False

(p & q) v ((r -> p) & (p & ~(p & (~s -> ~(s v t))))), False

((p & ~(q -> ((q v p) -> ((q v r) v p)))) & (s -> t)) -> q, True

(p & (q -> (((~r -> s) & t) -> r))) & (q & (p & (t -> p))), False

(p v q) & (p & ((r -> s) v (r & (t -> ((r -> r) -> ~r))))), False

p -> ~(~~(q -> ((r -> ~(s -> (p & s))) & ~t)) -> s), False

p v (((((q & ((r & r) v r)) -> r) & (s v ~t)) -> p) v q), False

p v (((((q & p) -> q) & ~(r v p)) -> (s v q)) v (t v p)), False

(~((p -> ~((q v p) -> r)) & p) v s) & (t & (s -> ~q)), False

p & ((((q -> r) & (s & (t & t))) v ((t -> ~t) v r)) & t), False

(p & (q -> ~r)) -> (((~s -> s) & ~((s -> s) & p)) & t), False

~(((p & (q v q)) v q) & ((q & (r -> s)) v p)) & (t & r), False

~~~(p -> (q & ((r & s) v s))) -> (p & ((p -> s) v t)), False

p -> (~((p & (q -> (r v ~s))) v (~r v (s -> t))) v p), True

(p & q) & ((q -> (((r & (r & p)) v (s & ~t)) & q)) v s), False

(p -> ~(((p & q) & r) & s)) & ((s -> ~(t -> t)) -> ~s), False

~(((p & (q v (r v ~s))) & r) v ((s v s) -> ~t)) -> r, False

p & (q -> ((r & s) -> ((~s & t) -> (((p -> p) & r) & q)))), False

~(((p & p) v q) v (r -> ((q v (s & ((q v t) & s))) -> q))), False

(p & q) -> (((~r v (s v q)) v p) & (s & ((q v t) -> t))), False

p -> (~~q v (~p -> ((((p -> (r & s)) v t) & t) & p))), True

(p v q) -> (~(((r v (s -> t)) & s) v s) & ~~(p & q)), False

~(p -> ((q v r) -> ~~s)) -> ((t v ((r v s) & p)) & t), False

((~((p & p) & q) v q) & (r v ((s & (r v p)) & t))) -> p, False

(p & ~(q -> ((r & (~q -> q)) -> s))) -> (~r -> (t -> q)), True

~(((p v q) v (r & p)) & (((s & q) v t) & (p & (r -> q)))), False

~((((~(p v (q -> (r & q))) & ~s) -> p) v (t & r)) v p), False

(~~((((~p & q) -> ~r) -> s) & (t -> r)) v ~t) v q, False

p -> ((~(q & (((r v (r & s)) v p) & (p & t))) v r) -> r), False

((p -> ~(q & r)) & s) -> ~(p -> ~((q & (r & r)) -> t)), False

((p v (((q v ~p) & ~~(q & r)) v s)) & (r v t)) -> r, False

(p & (q & (p -> ((~(~(r & s) -> p) v q) -> s)))) -> ~t, False

(p v (q & q)) -> ((~((~r & q) v s) & r) -> (t & ~t)), False

(~~p -> p) -> (~(((q v q) & r) & s) -> ((t -> s) v t)), True

(~~(p v q) & (~r -> r)) v ((r & (s -> r)) v (t & s)), False

p -> (~~((((q & ~(q -> r)) v s) v s) -> (q v t)) & p), False

(~(~~p & (((q v (r -> s)) -> (t & r)) v r)) -> t) v q, False

p v ((q -> r) -> ~(s & ~(t -> ((~(r -> r) & s) -> q)))), True

(p v (q -> ((q -> (r v s)) -> ((q -> p) v ~(r v t))))) -> s, False

p & ((q v (r v (~q & ~s))) -> (t & (r -> ~(p & p)))), False

p v (((q -> r) -> ~((s -> t) v (s & r))) v ((p -> q) & s)), False

p v ~(~(q v p) & ~((r -> q) -> ((q -> (s v t)) v t))), True

(p v (((q v r) & (s & p)) -> s)) & ~((p -> r) -> (s & t)), False

(((~p v (((q -> r) -> (p & s)) -> t)) & (q v t)) -> q) & r, False

(~p -> (((q -> r) -> r) v ((((p & s) -> t) & q) & q))) -> q, False

((p -> p) -> (q -> r)) v ~(((((q v s) -> t) & p) v p) -> s), False

~((((~~(p v ~q) v (r -> s)) & ~t) -> (r v q)) & t), False

p v ((q -> r) -> (q & (((r v ((s & ~r) -> q)) -> t) -> t))), False

~(((p -> q) & (r -> q)) & ((p v ~((s -> t) & s)) v ~p)), False

~p v ((((((~p -> ~q) -> r) v s) & q) & (s -> t)) & r), False

(((p -> q) -> ((~r & ~(p v q)) & (s v t))) & ~r) v p, False

p v (q & (r v ~((((s v (q & r)) -> q) v t) v (t & s)))), False

~p -> (~(q & ((~p v (((r & s) v r) & t)) -> t)) & s), False

(~p -> ((q & ((((r v r) v s) v (t & r)) -> q)) & r)) v t, False

~((~(p & ~~(q & ~r)) & s) -> ((q -> q) & q)) -> t, False

(((~(p v ~(q & ~r)) & (r v s)) v (t v q)) -> q) -> r, False

((((p -> q) & ((r & (s v (t & p))) & s)) -> ~t) & r) & r, False

((~p v (q -> p)) -> ((p & ((r & (s v r)) v r)) -> t)) v t, False

(p -> (((q -> p) & ((r v r) -> (s v s))) v (~r & t))) -> r, False

((~p v (q -> (r & ~r))) v ((s -> ~s) v t)) & (p -> p), False

(p & (((q -> r) v s) -> ((t -> (r v p)) v ~~p))) -> ~r, False

~(((((p & q) & r) v (s v t)) -> s) & (s & ((r & p) -> s))), False

(p -> q) & ((r & s) v (r v ((r & p) -> ((~t & s) v r)))), False

p & (~(q v ((p & ((p -> r) -> q)) -> s)) v (r v (t -> r))), False

(((~p & p) & (q -> q)) v r) -> (r -> ((s -> r) -> (t & p))), False

~((p v (q v ((((q v (r & r)) -> p) v s) v (t & s)))) & p), False

(((~p -> (q v (p & r))) & s) -> (s v (t -> s))) v (p -> p), True

p & ((q -> q) & (((~r & (p v s)) -> ((s -> s) -> t)) v t)), False

((p & q) & (~q & r)) & (((s v (s v q)) -> t) & (q v s)), False

(p & ((~q & ((r -> (((s & t) v p) v r)) & r)) v s)) v t, False

((((p & ~p) & (q & (r -> r))) -> (s & t)) & q) & (t v r), False

((p v (q -> r)) v (~(r & (p & s)) -> ((p & q) & t))) & s, False

p -> (~p -> ((q v (((p & q) v r) -> ((p -> s) v t))) v s)), True

(p -> (~((q & (r v p)) v s) -> ((t -> p) -> p))) & (r & p), False

~((p -> (p & (q & ~r))) v ((s -> (q v ~s)) v r)) & t, False

~((((p -> q) v (q -> ((r -> s) & q))) -> q) & ((t & q) v p)), False

(p v ~((q & (r v ((s & r) -> p))) & (t & r))) v (s & t), False

(p -> (q v (r & ~(~(~~(s -> r) & t) & p)))) & ~p, False

(((p & p) v q) v r) & ((r -> (s v ~r)) v (t -> (s & t))), False

~((p -> q) v (((r v s) & q) & (p v ~(q v (~s & t))))), False

~(p -> (((q & r) -> s) -> ((s & s) & p))) -> ((t v t) -> p), True

p -> ~(~(q v (r -> r)) -> (~((p -> (s -> t)) & s) v r)), False

((~p -> (q & ~(~~r v ~(p & (s & s))))) & t) -> q, False

~(((p -> q) v ((r -> s) -> q)) & (p v ((s -> t) v s))) -> q, False

p v ((((p & (~q v r)) & ~r) & (r -> ~s)) v (t & p)), False

~p -> ((q v ((~(p v ~(r -> s)) v r) v (s -> t))) -> r), False

~(((p & q) v (((~r & ~s) v t) v (t & q))) & p) v t, False

~((((((p & q) v r) v q) v ~(p & r)) -> (s v p)) v ~t), False

p -> ~(p & (((q & r) & (s -> t)) v (~p v (q v ~p)))), False

((~p -> (q v (~r & s))) & (r -> s)) v ~((q v p) v t), False

~((~p -> (p & ~((q -> (r & s)) -> t))) -> (q -> s)) -> s, False

(p -> (~q v ~(r -> p))) & ((~(r & s) -> p) v (t v s)), False

p v ~~(((~((q & p) v r) -> r) & (s & s)) -> (t -> t)), True

(p & ~((p & q) v ((r -> (((r -> q) -> p) & s)) -> t))) -> r, False

(p & ((q & r) & (s & (t v ((~(p v q) v s) v q))))) & p, False

(~((p -> q) -> ((((r & (s & p)) v q) -> t) v t)) & r) v q, False

(p -> ((q -> r) v ((s -> ~(q -> t)) & t))) & (s -> (q & t)), False

(p v q) -> ((r -> (s v (((q v t) & s) -> ~(q & r)))) & t), False

~((p v (q & r)) v ((q v s) v (q -> (p v t)))) -> (r v p), True

((~p v (p & q)) v (((((p v r) -> r) v s) v s) -> t)) -> q, False

((p v q) & p) & ~(((((r -> q) v r) v r) & (s & t)) v s), False

(p & ((q -> p) v (r & (q -> s)))) & ((q & t) v (~t & p)), False

((p v ~q) v ((r & s) v (s & (p v s)))) -> (t & (q v s)), False

((p v (q & p)) -> ((((~q -> q) & q) v (r v s)) v t)) & s, False

((((p v (((q -> r) -> p) v (s & r))) v s) v ~t) -> r) v s, False

p -> (p v ((q & (~((r v s) & r) & (s -> (p v t)))) & p)), True

(p -> (q & (q v r))) & (((s v p) v r) -> ((t v r) v ~q)), False

((p -> (q & p)) v r) & ((p -> (q v ~(q v (s -> t)))) -> t), False

(((p v q) v q) v (r -> ~(q v (((s v s) & s) -> t)))) -> r, False

((((~p v q) & ((q -> ((q -> r) -> s)) -> p)) -> t) & s) v t, False

p v (q & ~(((r & s) v r) v ((p v t) -> ((s -> r) v r)))), False

p & (q v ~(~(p & (~r & ((~s v q) & ~t))) & q)), False

((p & p) -> (((q & q) -> r) v ~~~q)) -> ((q v s) & t), False

~p -> ((~(((~p -> ~(~q v r)) & q) & q) & s) & t), False

((p & q) v (q & r)) -> ~((q -> s) & (((r -> r) -> t) v r)), False

(p & ((p & ((q -> r) -> q)) v p)) & ((s -> q) & ~~~t), False

~(p -> (q & ((r -> q) v (q & (s -> ~((q & t) v ~t)))))), False

(p & (p -> ((((((~q & r) v p) v s) v p) -> t) v q))) & q, False

~(~((p & ~((q -> (r -> (r v s))) & t)) v s) & (s -> t)), False

~(p -> (q -> (~r v ~~~(s v (s -> (t & q)))))) -> p, True

((~p -> q) -> (p & (p & q))) & (r v ((~~s & t) & q)), False

((p & (~q & r)) -> q) -> ((q v ((s & t) -> r)) v (p -> r)), False

p -> (q & (r v (q -> (p & (~p v (p -> ((s v q) & t))))))), False

((p & (~(~~q & ((r & p) & (s -> t))) & q)) v r) v t, False

~(((~(p -> q) -> ((r & q) v r)) -> (s -> ~r)) & r) & t, False

p v (((p & (q -> r)) v (s v q)) & (((p v s) v ~s) & t)), False

p v (((p -> p) -> q) v (~(r -> q) & ((q & s) -> (t v s)))), False

(p -> q) v (((r v s) v ((~(t & (s & q)) & q) -> t)) & p), True

~((~p -> ~((q -> r) & (r v s))) -> ((p -> q) -> t)) v q, False

(p & (p & ((~q v (r & q)) & ((p & s) & t)))) & (q v t), False

((p v (q -> (r & (~(r & r) & ~(~p & r))))) v s) v t, False

~((p & q) & ((r & q) -> (s v (s v p)))) v ((t -> r) & r), False

p v ((q v (r & s)) -> ((p -> (t v s)) & ((~p v s) -> p))), False

(~p -> q) -> (~(r -> s) & ~~(p & (q & (t & ~p)))), False

~(((((p & q) & r) v (r & s)) v r) & (r -> t)) & (p & q), False

p -> (((q -> (r & ~(~s & q))) -> (t v r)) & (~p -> s)), False

p -> (q -> (((r -> ((p & s) & p)) -> (p & (p & ~t))) v r)), False

p & ~((q & (~r v ((q v s) v ((~q & t) & q)))) v q), False

~((((p v (((q & (r -> s)) v s) -> p)) v t) -> t) v t) & q, False

(((p v q) -> (p -> (p v r))) & ~(s -> q)) v ((r v q) v t), False

((p & (q v ~(r v (p & s)))) v ~p) v (t & (p v ~q)), False

~(p -> q) & ((r -> (((s -> s) -> q) v q)) v (t -> ~~t)), False

((p v (((q & r) v s) -> (s v t))) -> ((r & ~r) v p)) v p, False

~(p v (((q v r) -> p) -> (((~~s -> ~t) v p) -> ~s))), False

(p v (q v ~((r -> p) v (p -> ~(r -> (r & ~s)))))) & t, False

((p v q) & (r v s)) & (~(r & (q & q)) v ((q -> p) v t)), False

(p -> q) -> ((q -> r) -> ((((~q -> (p & s)) -> t) & p) & r)), False

((p v p) v ~(p -> (q v (r -> (((r & s) & r) v t))))) -> r, False

~((p & q) -> (r v s)) -> ((p v (r -> t)) & ((t -> t) -> r)), False

(p v ~(((~p & q) v r) & (~(s & t) v (q -> p)))) -> p, False

p -> ~((q & r) -> ~((~s & (t v q)) & ((s -> p) v s))), False

~p -> ((((q & p) & (r & r)) v (s & (q & s))) v (t & s)), False

p -> ((q & ~(p v ((r -> (s v ~(t & ~q))) & t))) -> r), True

p -> ~((~(~(q v r) v p) v (r -> s)) v (t & (s & q))), False

p -> (((q -> r) v ~q) & (((q v (p & s)) -> (t & p)) v p)), False

p -> ((q -> r) -> ((~s & ~(r -> ~((q & t) & q))) -> r)), True

(p & q) -> (((r v (((s v ~t) v (r v q)) v t)) v r) & r), False

(p & q) v ~~((((r -> p) & s) v (p & s)) -> ~(q & t)), False

p & (((~q v r) & p) -> (r & (((s & r) & r) v (t v r)))), False

p & (~((q -> q) -> (r & ((s & q) & (q & (p -> t))))) & r), False

(p v ~((q & (r v (p & (~s -> (~q & p))))) -> q)) v t, False

(~((p & q) v q) -> (((((r & s) v t) & q) & s) v s)) -> s, False

(((~~(p v ~(q & r)) & s) & p) -> (t v (s & t))) -> p, False

p -> ((((((q -> (r -> r)) v q) & s) & ~p) -> t) -> (s -> t)), False

p & (q & (~p v ((r v s) -> (s & (r & (t v ~~p)))))), False

(((p & ~~(q -> (~~r & p))) & (~q -> s)) v t) v p, False

(p v ((q -> (r & (q & (((q -> s) & q) -> p)))) v ~r)) -> t, False

(((~(p -> q) -> r) & (s & q)) v (p -> (s -> (t v s)))) v s, True

(p -> ~q) & ((r -> s) & (s -> ((s -> ((s v s) & t)) & p))), False

(p v (((q v (r & s)) v t) v (~p & (q -> r)))) & (q v q), False

~(((p -> (q v r)) v ~~(s -> ((q v t) v p))) v q) v q, False

p -> (((q v r) v (~~s v (p v p))) & ~(t v (q & q))), False

(p -> (q -> (((q v q) v ((r v s) v ~s)) & t))) v (t -> r), True

p & (q & ((r v s) -> (~~((q & r) -> ~p) -> (s -> t)))), False

~(((p & (q & p)) & r) v ((~(p & r) -> (~s & s)) v t)), False

p & ((((q & r) v ((q & (p & ~(q & r))) -> s)) -> r) & t), False

((p v p) v ~(~((q v (r v s)) -> p) & r)) -> (~t & p), False

~((p -> q) & (((((r -> s) v q) & q) & (q v t)) -> (s -> r))), False

(~p & ((q -> (~(r & s) v t)) v t)) v (t & (p & ~t)), False

~(((p & q) v (p & (~((r -> p) -> p) -> s))) v ~t) -> q, False

~~((((p v (q & (r v q))) -> (s -> (t v q))) & s) -> ~p), False

(p -> (~q v r)) -> (((r -> s) v t) & (((q & s) v q) & p)), False

(((p & p) & p) v q) -> (r v ((s -> ~q) -> ((q & s) v t))), False

(((p -> q) v r) v (~p -> ((r & (s -> t)) -> (q v q)))) -> t, False

(((~p -> ~p) -> (q v r)) & ((s -> (r & t)) -> s)) v ~p, False

(((((((p -> q) & r) & s) & p) v (t v ~p)) & p) & t) v q, False

(p v ((q -> r) & (r & s))) v ((((r & t) v p) & r) v ~t), False

p v (p & ((((~q v (r v (p -> ~~s))) -> q) -> p) v t)), False

p v (((q & (r v r)) -> (((q & q) -> s) & t)) v (~q -> p)), True

