formula, is_taut
(p -> q) -> (((~r & ~((p & (q -> ~s)) v t)) & p) v r), True
((p & ~(q -> ((q v p) -> ((q v r) v p)))) & (s -> t)) -> q, True
~~~(p -> (q & ((r & s) v s))) -> (p & ((p -> s) v t)), True
p -> (~((p & (q -> (r v ~s))) v (~r v (s -> t))) v p), True
(p & q) -> (((~r v (s v q)) v p) & (s & ((q v t) -> t))), True
p -> (~~q v (~p -> ((((p -> (r & s)) v t) & t) & p))), True
(p & ~(q -> ((r & (~q -> q)) -> s))) -> (~r -> (t -> q)), True
(~~p -> p) -> (~(((q v q) & r) & s) -> ((t -> s) v t)), True
p v ((q -> r) -> ~(s & ~(t -> ((~(r -> r) & s) -> q)))), True
p v (((q -> r) -> ~((s -> t) v (s & r))) v ((p -> q) & s)), True
p v ~(~(q v p) & ~((r -> q) -> ((q -> (s v t)) v t))), True
(p v (((q v r) & (s & p)) -> s)) & ~((p -> r) -> (s & t)), True
~((~(p & ~~(q & ~r)) & s) -> ((q -> q) & q)) -> t, True
(((~p -> (q v (p & r))) & s) -> (s v (t -> s))) v (p -> p), True
((((p & ~p) & (q & (r -> r))) -> (s & t)) & q) & (t v r), True
p -> (~p -> ((q v (((p & q) v r) -> ((p -> s) v t))) v s)), True
(p -> (~((q & (r v p)) v s) -> ((t -> p) -> p))) & (r & p), True
~(p -> (((q & r) -> s) -> ((s & s) & p))) -> ((t v t) -> p), True
p v ~~(((~((q & p) v r) -> r) & (s & s)) -> (t -> t)), True
(p & ~((p & q) v ((r -> (((r -> q) -> p) & s)) -> t))) -> r, True
(p v q) -> ((r -> (s v (((q v t) & s) -> ~(q & r)))) & t), True
~((p v (q & r)) v ((q v s) v (q -> (p v t)))) -> (r v p), True
p -> (p v ((q & (~((r v s) & r) & (s -> (p v t)))) & p)), True
~(p -> (q -> (~r v ~~~(s v (s -> (t & q)))))) -> p, True
((p & (~q & r)) -> q) -> ((q v ((s & t) -> r)) v (p -> r)), True
