formula, is_taut
p v (q -> ((((p -> r) & (p v s)) -> p) v q)), True
p v (~q & (r -> (q & (p & (~s & r))))), False
(p & ~~(p v ~(q -> r))) -> ~(s & p), False
~((p & (q & r)) -> ((s & (q v ~s)) -> r)), False
(~~p -> ~(q & p)) v ~((r v s) v r), False
(p v (((~q v p) & q) & q)) & ~(r & s), False
~(((p & (q -> r)) -> ~p) v ((p & p) v s)), False
((p -> ((q v p) & r)) & (r & (s & q))) v r, False
p & ((q v ~(~(r v p) -> r)) v (r & s)), False
(~p & (q -> ~(((q -> r) & r) -> s))) -> r, False
((p & q) v ~p) -> (((r -> ~p) -> s) & r), False
~(~p & (q & (((r & s) v ~~p) v p))), False
(p v (q & ((q v q) & q))) -> (r & (s & r)), False
~(((p -> (q & (q -> r))) & ~(p -> s)) v r), False
(p & ((~q -> q) v (r & p))) -> (~p v s), False
((((p v ~q) & r) v q) -> s) v (~q -> s), False
~~~(p & ((~q v r) -> ~~s)) & p, False
p & ~((q & p) v (p & (r -> (s v ~s)))), False
(~(p -> (q & ~(r -> r))) & (q -> s)) v q, False
p -> (~(q -> (r -> (p -> (~r & s)))) -> r), True
((p -> ~(q v q)) & ((r -> ~s) -> q)) -> r, False
(p & ~(((q & (r v s)) v p) & ~s)) -> s, True
~((p & ((~p & ~q) -> ~r)) -> s) & r, False
(p & (((q v p) -> ~r) v ~p)) v (s -> r), False
(((p & ((q v (q -> r)) -> r)) & s) -> q) v p, True
~(p & (q v (r & (r -> (p & s))))) & ~q, False
(~p & (~q v r)) & (s -> ((s & q) & r)), False
(~p v (((q & q) -> (r v ~q)) v s)) & q, False
(p v q) & ((p & (q v ((q v r) -> s))) -> p), False
(((p & ((p v q) v ~p)) -> r) -> ~s) -> r, False
((p v (q & (r -> s))) -> (s & s)) & (q -> p), False
~(p -> ((q v r) v (s v ~((r v p) & p)))), False
((((p & p) v (q -> q)) v ~r) -> r) v ~s, False
~(p v p) & (~(~q -> p) -> (~r v s)), False
((p & q) -> r) & ~(q v ((s & ~s) & p)), False
((p v (q & ((r v p) -> r))) v (p -> r)) v s, True
(p -> ((q v r) & ((q & r) v (q v s)))) v p, True
p -> (((q & (r v s)) -> (r -> (q & q))) v p), True
p v ((q & r) v (s -> ((q -> q) -> (p -> q)))), True
p & (q v (q & ((q v (r v (s & s))) & p))), False
(p & (q v (p & ((r & q) & p)))) & (s & r), False
p v ~((q & ~p) -> (r & (~~s & p))), False
~(~p v p) v (((p v q) v r) & (s -> r)), False
(((p & q) & (r & s)) & ((p & p) -> r)) -> q, True
(p v (q -> r)) & (((s -> q) & (r -> q)) & q), False
(p -> (((q -> ((r -> r) v p)) & s) v p)) v s, True
p & ~(((p v q) & (p -> ~r)) v (p & s)), False
((p v ~(q & ~r)) -> q) v (p & (p & s)), False
p v ((q -> r) & (((q -> r) -> (s -> r)) v q)), False
(p v (((q v ~r) v q) -> ~(s -> s))) & s, False
p -> (((p -> (p -> (q & r))) v (s -> s)) v q), True
((p -> (p v (~q v q))) v (~q & r)) -> s, False
((p -> ((q -> r) & (r & r))) v (s & r)) v q, False
(p & q) v ((r v (r & (p & s))) & (q v p)), False
~(p & q) -> (r v ((~(p & s) v p) & s)), False
(p -> q) & (((r v q) -> p) & (s -> (p -> p))), False
(~p v ~((((q -> q) -> p) & q) & r)) v s, False
(((~p v (p -> (q -> p))) -> r) & ~s) v r, False
(p -> (q -> p)) & (((p -> r) -> (q & r)) v s), False
(p v q) & ~((r v (q v p)) v (~s v s)), False
((p -> (q -> p)) v q) -> ((r v s) & (r v p)), False
~(p & q) -> ((r & s) -> (s & ~(s v p))), False
(p & p) v ~((q v ((r v s) v ~s)) v p), False
~~p v ((p v q) -> ((r & (r & s)) v s)), False
(p v p) v (((q v r) v (p -> (q & q))) -> s), False
((~p & (p -> (~(q v p) -> r))) -> s) -> r, False
(p v (q -> (r -> (q & p)))) -> ((s v q) & q), False
~(p -> (~q v (((p & r) -> (s & r)) v q))), False
~(p & (((q -> (p & r)) -> s) -> ~~~s)), False
(p & ((q & r) v ~~s)) & (r & (p -> q)), False
((p -> (q -> q)) v q) -> ((r -> (s v q)) & p), False
~((~(p -> (q -> r)) v p) & (p v (s v q))), False
p v ((q -> ((((r v r) & s) -> p) -> r)) -> s), False
~((p -> q) v (((r -> ~r) v s) -> s)) & r, False
((p -> q) -> ((((q & p) -> r) v r) -> q)) -> s, False
((p v (q & (p & r))) -> (s & ~~p)) & p, False
p -> (q v ((((q v r) & s) v p) & (p & q))), False
((((p -> (q v q)) & ~p) v r) -> r) v ~s, False
~((((p v q) & ~q) v (r v (s v s))) v s), False
~((~~p v (q -> q)) v ~(r & (s -> p))), False
(p v p) -> ((((q & r) v (p & s)) v r) & r), False
(p & (q v r)) v ((q v q) & ((s v p) & r)), False
~~(p v q) -> (((r v (q -> r)) -> r) -> s), False
p & (q v ((q v r) -> (~~(s & q) v q))), False
(p v (((q v p) -> r) & (p v r))) v (s v s), False
~(p -> ((p -> q) -> (r -> ~s))) & (s -> q), False
(p v p) v ((q v (r & q)) & (s -> (q v r))), False
(((((p & q) & r) v p) -> s) -> (p v p)) v p, False
((p & p) v ~(q v ~q)) v ((p v r) -> s), False
((p -> (q & p)) & r) v ((~q v ~q) & s), False
((((p v (q v r)) -> (p -> s)) & q) v r) v s, False
p & ((p v (q -> r)) v ~((~q & s) -> s)), False
p v ((((q & r) v (p & s)) v (s -> r)) & p), False
~~(((p -> (q v (q v r))) v (s & q)) & q), False
p -> (q v (r v ((p & (q & s)) v (r & s)))), False
(p & (((q v ~r) v q) -> p)) v ~(r v s), False
((~(p -> q) v q) & r) & ~(p v (s -> r)), False
p v (((q & (q v (r & r))) -> r) -> (s v r)), False
(~((p -> q) & r) & (~s v r)) -> (s -> r), True
(p -> q) v ~(p & ((r & p) & (q v ~s))), False
(~p -> ~(q v r)) v ((s -> s) -> (r & r)), False
((p & ((q v r) v p)) v q) -> ((s & r) -> r), True
(~p & ((p v ~(q -> ~r)) -> s)) v ~r, False
~((p & ~((q v r) & ((p v r) v r))) & s), False
((p & (q -> r)) v q) & (~(s -> p) -> ~q), False
p v (q -> ((r & (r -> (s -> s))) & (s -> p))), False
(~(p -> ((q & r) v ~s)) -> (s -> p)) & p, False
((p & ((q & (p & r)) -> (q v r))) v p) & s, False
p v ((q -> r) v ((r -> (p -> q)) -> (s & r))), False
(~((p v ~q) -> p) -> (p & r)) -> (s -> p), False
((p v q) & r) v (~~(p v (s -> q)) -> s), False
(p -> q) -> ((p & ((r & (s & r)) & s)) -> s), True
(p v ~((~(q v r) -> (s v r)) & p)) -> q, False
(p v ~~(q & (((r -> s) -> r) -> p))) -> s, False
(((p -> (q -> r)) -> (s & s)) v s) & (p -> r), False
~(p v (q v (r -> ((s -> ~(s & r)) -> s)))), False
~(p & (q v (~~q -> q))) -> (r -> ~s), False
~((p v q) & ((p v r) & (~s -> (r -> p)))), False
((p v ((q v (p -> p)) v (r v s))) -> q) -> p, False
p -> (p & ((q & ~r) & ~((p v p) & s))), False
p & ((q v p) & (r v (((s v p) v p) v s))), False
(p -> (q v ((q v r) -> ((r & r) v r)))) v s, True
(p v (q v ~~r)) & (p & ((r v s) v q)), False
~((p & ~q) v r) & ((s v ~p) & ~p), False
(((p & (q & ((r & p) -> s))) -> p) & r) -> q, False
p v (q v (r -> (((q & (p v s)) & r) & r))), False
(p & ~(~q & p)) v ((r -> (p v s)) v q), False
((p -> q) v (r -> ((q & p) -> q))) -> (s & q), False
