formula, is_taut
p -> ~((q -> (q -> ~r)) -> (((s -> t) -> ~q) -> (t -> p))), False
(p -> ~q) -> ((~((~(q -> r) -> (p -> s)) -> t) -> r) -> q), False
~((p -> (q -> q)) -> (r -> ((p -> ((p -> (r -> s)) -> t)) -> t))), False
(p -> ~(p -> ((q -> ((r -> ~s) -> q)) -> ~(t -> p)))) -> s, False
(p -> q) -> (((~r -> ~((p -> (q -> ~s)) -> t)) -> p) -> r), False
(p -> q) -> ((r -> p) -> (p -> ~(p -> (~s -> ~(s -> t))))), False
((p -> ~(q -> ((q -> p) -> ((q -> r) -> p)))) -> (s -> t)) -> q, False
(p -> (q -> (((~r -> ~s) -> t) -> ~s))) -> (r -> (q -> p)), False
p -> (((~((q -> ~r) -> ~s) -> q) -> (~~t -> q)) -> r), False
p -> (~~q -> ~~(~(~~~~r -> s) -> (t -> s))), False
~~((p -> (q -> ~p)) -> ((p -> ((q -> r) -> r)) -> (s -> t))), False
~(~((~~p -> (q -> r)) -> ((s -> p) -> t)) -> ~p) -> t, False
((((~p -> (q -> r)) -> s) -> (r -> ~(p -> t))) -> ~r) -> q, False
((((~(p -> q) -> (~p -> ~p)) -> ~r) -> r) -> s) -> ~t, False
((p -> q) -> (r -> ~(~(s -> (r -> ~p)) -> (t -> t)))) -> p, False
p -> ~((((~(q -> r) -> ~(~r -> s)) -> t) -> r) -> ~q), False
(p -> (q -> q)) -> ((r -> s) -> (~t -> ~((q -> t) -> ~t))), False
~((p -> q) -> (r -> ~(~s -> (~t -> (q -> ~(t -> q)))))), False
p -> (~((~q -> q) -> (r -> ~(((q -> s) -> r) -> q))) -> t), False
(((p -> q) -> p) -> ((~(r -> s) -> ~s) -> t)) -> (q -> ~t), False
(p -> (((p -> ~~q) -> (r -> s)) -> s)) -> ~((q -> q) -> t), False
(p -> ((~~q -> r) -> (~s -> ~(s -> t)))) -> ~(s -> t), False
(p -> (p -> q)) -> (~(p -> (~(~r -> s) -> (r -> t))) -> q), True
~((p -> ~((~q -> ((r -> s) -> (t -> ~t))) -> s)) -> ~p), False
((p -> (q -> (~~r -> ~(p -> q)))) -> (s -> (r -> t))) -> q, False
(((p -> (~q -> r)) -> r) -> (~s -> ((t -> ~p) -> q))) -> s, False
(p -> ~(q -> ~r)) -> (~(p -> q) -> ((q -> ~s) -> ~t)), True
p -> ((q -> (q -> (~r -> ((((s -> s) -> s) -> r) -> s)))) -> t), False
~p -> (q -> (r -> (q -> ~~(r -> (s -> ((p -> t) -> q)))))), True
(p -> q) -> ~(r -> ((s -> p) -> (((s -> r) -> (t -> p)) -> t))), False
~(((((p -> p) -> q) -> r) -> ~~(s -> (r -> t))) -> p) -> p, False
p -> (~~(q -> (~(p -> r) -> (s -> ~~t))) -> (q -> s)), False
(p -> ~(q -> (q -> (r -> p)))) -> (q -> (s -> ~(r -> ~t))), False
~(p -> (q -> (~((r -> r) -> ~~~s) -> (t -> (p -> q))))), False
((p -> q) -> r) -> ((~(s -> p) -> (p -> (r -> t))) -> (q -> r)), True
((~(p -> ~(q -> r)) -> (~~(s -> s) -> r)) -> ~r) -> t, False
((~p -> q) -> r) -> ((s -> p) -> ((~(t -> ~q) -> p) -> q)), False
p -> (q -> ((r -> (~r -> r)) -> ~~(q -> ((s -> t) -> q)))), True
(p -> (~(~q -> ~~r) -> q)) -> ~(r -> (s -> (q -> t))), False
(p -> ((((q -> r) -> p) -> (~(q -> (s -> p)) -> s)) -> s)) -> t, False
p -> (q -> (r -> (((s -> p) -> (r -> s)) -> (~(t -> r) -> p)))), True
(p -> (q -> ((r -> (r -> q)) -> ((q -> p) -> s)))) -> (t -> ~t), False
~((p -> (~(q -> r) -> s)) -> ((p -> ((t -> t) -> ~q)) -> r)), False
((p -> (q -> (~r -> q))) -> q) -> (((~s -> t) -> p) -> ~p), False
(p -> ((q -> q) -> ((((r -> s) -> ~q) -> p) -> (p -> t)))) -> p, False
~((((~p -> q) -> (p -> r)) -> p) -> (~s -> ((p -> t) -> q))), False
((p -> (q -> (r -> (~p -> r)))) -> ~~s) -> (t -> (s -> s)), True
~((~(((~(p -> p) -> (q -> r)) -> s) -> t) -> q) -> s) -> q, False
p -> (((q -> (r -> (q -> ((p -> (s -> q)) -> ~p)))) -> q) -> t), False
(((p -> q) -> ~~((r -> ~(q -> s)) -> (p -> p))) -> t) -> t, True
p -> (((((q -> p) -> ~(r -> ~s)) -> ~(r -> r)) -> t) -> s), False
p -> ~(((q -> p) -> ((q -> ((r -> s) -> t)) -> ~~q)) -> q), False
(p -> ~(((q -> r) -> ((r -> r) -> (~s -> t))) -> ~s)) -> p, False
(p -> q) -> ~(((q -> ~p) -> r) -> ((s -> s) -> (t -> ~s))), False
p -> (~(q -> (q -> ((~(p -> r) -> r) -> (s -> t)))) -> ~t), True
(p -> (q -> ~(~(q -> (~r -> (s -> (q -> q)))) -> r))) -> t, False
p -> (~~~~(((~q -> (r -> s)) -> t) -> p) -> (t -> s)), False
(((p -> ~p) -> ((~p -> ~q) -> ~(r -> ~p))) -> s) -> t, False
((p -> q) -> (((r -> s) -> q) -> (~~t -> ~q))) -> ~~r, False
p -> (((((~~(q -> r) -> q) -> (s -> s)) -> r) -> t) -> ~q), False
((p -> (~q -> ~q)) -> (~(r -> (s -> (s -> t))) -> p)) -> t, False
p -> (~((~(q -> (r -> ~~r)) -> (~s -> s)) -> q) -> t), False
(p -> q) -> (~(p -> (r -> ~~s)) -> (t -> ((r -> t) -> r))), True
~~~~p -> ~(((((q -> r) -> s) -> ~t) -> q) -> ~t), False
(p -> p) -> (q -> (r -> (~s -> ((~(r -> ~t) -> r) -> t)))), False
~~((((p -> q) -> ~(~(~q -> r) -> (r -> p))) -> s) -> t), False
~p -> (((((~~(q -> r) -> ~s) -> t) -> p) -> s) -> ~p), True
((~p -> ((q -> ((r -> q) -> (~s -> s))) -> q)) -> ~t) -> t, False
((p -> ((p -> ~(((p -> p) -> (q -> r)) -> q)) -> s)) -> s) -> t, False
(p -> (~q -> r)) -> ((((s -> ((s -> s) -> s)) -> s) -> t) -> s), False
~((p -> (~(~~q -> r) -> ((~s -> (r -> p)) -> t))) -> t), False
(p -> (((q -> r) -> ~s) -> p)) -> ~((t -> ~s) -> (s -> q)), False
~(~((p -> q) -> ~r) -> (~(s -> ((~t -> s) -> r)) -> p)), False
(~~(p -> (q -> r)) -> ((q -> (s -> (q -> r))) -> ~r)) -> t, False
p -> (((q -> ~r) -> s) -> (~p -> (~(r -> t) -> (t -> s)))), True
p -> (q -> (r -> ((s -> q) -> ((~(p -> p) -> t) -> (p -> r))))), True
((~p -> ~(~(~q -> r) -> ~p)) -> (s -> t)) -> (s -> q), False
~~~~(((~(p -> q) -> r) -> ~((~s -> p) -> t)) -> t), False
(((~p -> (q -> r)) -> ((p -> (q -> s)) -> s)) -> (p -> t)) -> t, False
((~((p -> ~q) -> p) -> r) -> (~s -> ~~(r -> t))) -> p, False
(p -> q) -> ~~((~((q -> ~(r -> r)) -> ~s) -> t) -> p), False
(p -> (q -> ((r -> s) -> ~r))) -> ~(~(r -> t) -> (t -> r)), False
~(p -> ~~~q) -> (r -> ~((s -> (t -> s)) -> (q -> q))), False
p -> (q -> ~~((r -> ((s -> s) -> ~t)) -> ~~(p -> p))), True
((p -> q) -> ((r -> ~s) -> p)) -> ~~~(t -> (~q -> p)), False
(~p -> (~((q -> ~~p) -> ~r) -> r)) -> (q -> (s -> t)), False
(p -> (q -> (r -> (((~q -> p) -> (p -> s)) -> q)))) -> (t -> s), False
~p -> ((q -> (~r -> (((p -> s) -> (t -> ~t)) -> r))) -> t), False
(~(p -> (p -> p)) -> q) -> ((((r -> ~s) -> t) -> s) -> ~p), False
~((((p -> p) -> (q -> (r -> s))) -> ~t) -> (s -> ~(q -> s))), False
~((p -> ((q -> (~(q -> r) -> ~r)) -> q)) -> s) -> ~~t, False
(~(p -> (q -> ((~r -> p) -> (~p -> p)))) -> ~~s) -> t, False
~~(~((~~p -> q) -> r) -> ((s -> s) -> (~r -> ~t))), False
~((p -> q) -> ~(~r -> (s -> ((~t -> q) -> ~(q -> p))))), False
((p -> ~q) -> r) -> (r -> (~s -> ((p -> ~t) -> (q -> p)))), False
(((p -> q) -> r) -> ~~((s -> (t -> ~q)) -> q)) -> (q -> s), False
((((p -> ((q -> r) -> q)) -> r) -> s) -> (~s -> s)) -> ~~t, False
((p -> ~q) -> q) -> ~~~(((r -> s) -> q) -> (t -> ~r)), False
~(~p -> (q -> ~~r)) -> (~(s -> (q -> (t -> p))) -> r), False
p -> (((~q -> p) -> q) -> ((r -> s) -> (t -> ((q -> p) -> s)))), False
((~(p -> q) -> (~r -> s)) -> t) -> (t -> (q -> (~s -> t))), True
~~(p -> (q -> (((r -> ((p -> p) -> p)) -> (p -> s)) -> ~t))), False
p -> (q -> (r -> (((s -> r) -> (q -> t)) -> ((r -> t) -> ~t)))), False
p -> (q -> ~((r -> (~p -> (s -> p))) -> (~r -> (t -> t)))), False
~p -> ((~(~p -> ~(~q -> (p -> (r -> s)))) -> t) -> p), False
~p -> (~~(~(q -> (((p -> r) -> ~q) -> q)) -> s) -> t), False
p -> (q -> ~(~(~r -> ((r -> p) -> q)) -> (r -> (s -> t)))), False
~p -> ((~~(q -> r) -> (s -> q)) -> (~~(q -> t) -> q)), False
(p -> q) -> (p -> (r -> (p -> ((s -> ~s) -> (t -> (s -> s)))))), True
((~(p -> q) -> q) -> (r -> s)) -> ((~(r -> ~s) -> r) -> t), False
p -> ((q -> r) -> (s -> ((((p -> q) -> t) -> ~~~t) -> t))), False
p -> ((q -> r) -> ~((((p -> s) -> p) -> t) -> ~(~s -> p))), False
p -> (~(q -> (((~r -> (~(s -> s) -> q)) -> r) -> p)) -> t), True
~((p -> q) -> (r -> s)) -> ~(~t -> (((t -> p) -> t) -> q)), False
