formula, is taut Can, is taut Dual 
 p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
p1, False, False
p1, False, False
p1, True, True
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, False, False
p1, True, True
p1, True, True
