formula, tautology, system, FMI, alpha, beta, can_branches, can_nodes, can_nodes^2, KEcan_branches, KEcan_nodes, KEcan_nodes^2, res_branches, res_nodes, res_nodes+num_of_res, res_op_branches, res_op_nodes, res_op_nodes+num_of_res
((p -> p) -> ~(~~~(~p -> ~p) -> ~p)) -> ~~(~p -> ~~p), True, Syntetyki, 0.14285715, 2, 8,2, 14, 196, 3, 21, 441, 8, 16, 17, 8, 16, 17
~~~((~((~p -> (~~~~p -> p)) -> p) -> p) -> ~~(~p -> p)), False, Syntetyki, 0.14285715, 5, 3,5, 12, 144, 17, 57, 3249, 3, 12, 14, 3, 12, 12
~(~p -> ~(~~~~(p -> ~p) -> ~~(~~p -> p))) -> (p -> p), True, Syntetyki, 0.14285715, 3, 5,3, 15, 225, 5, 26, 676, 5, 13, 14, 5, 13, 14
((p -> p) -> (p -> ~~(~~p -> ~p))) -> ~~(p -> ~~~~~p), True, Syntetyki, 0.14285715, 4, 4,4, 13, 169, 7, 21, 441, 4, 13, 14, 4, 13, 14
(p -> (~~~(~~p -> ~p) -> ~p)) -> ~~~~(~p -> (p -> p)), True, Syntetyki, 0.14285715, 4, 4,4, 14, 196, 4, 19, 361, 4, 14, 15, 4, 14, 15
~~(~~~~~(~(((p -> p) -> ~~p) -> (~p -> p)) -> ~p) -> p), True, Syntetyki, 0.14285715, 2, 6,2, 14, 196, 3, 16, 256, 6, 14, 15, 6, 14, 15
~~~(p -> ~(~p -> (~~(~(p -> p) -> (~~p -> ~~p)) -> p))), False, Syntetyki, 0.14285715, 5, 3,5, 16, 256, 5, 19, 361, 3, 13, 15, 3, 13, 13
((~p -> ~~~~p) -> ~((~p -> p) -> p)) -> ~~~~(~p -> p), False, Syntetyki, 0.14285715, 3, 6,3, 14, 196, 5, 23, 529, 6, 18, 18, 6, 18, 18
p -> ~~~~~~((p -> ~~~p) -> ~(~(p -> p) -> (p -> ~p))), True, Syntetyki, 0.14285715, 8, 3,8, 22, 484, 8, 24, 576, 3, 13, 15, 3, 13, 14
(~~~~~(p -> ~(p -> ~p)) -> ((~p -> p) -> ~~~~p)) -> p, False, Syntetyki, 0.14285715, 4, 5,4, 13, 169, 8, 32, 1024, 5, 15, 15, 5, 15, 15
