"formula","1","2","3","4","5"
"((p->p)->~(~~~(~p->~p)->~p))->~~(~p->~~p)","p","p","p","p","p"
"~~~((~((~p->(~~~~p->p))->p)->p)->~~(~p->p))","p","p","p","p","p"
"~(~p->~(~~~~(p->~p)->~~(~~p->p)))->(p->p)","p","p","p","p","p"
"((p->p)->(p->~~(~~p->~p)))->~~(p->~~~~~p)","p","p","p","p","p"
"(p->(~~~(~~p->~p)->~p))->~~~~(~p->(p->p))","p","p","p","p","p"
"~~(~~~~~(~(((p->p)->~~p)->(~p->p))->~p)->p)","p","p","p","p","p"
"~~~(p->~(~p->(~~(~(p->p)->(~~p->~~p))->p)))","p","p","p","p","p"
"((~p->~~~~p)->~((~p->p)->p))->~~~~(~p->p)","p","p","p","p","p"
"p->~~~~~~((p->~~~p)->~(~(p->p)->(p->~p)))","p","p","p","p","p"
"(~~~~~(p->~(p->~p))->((~p->p)->~~~~p))->p","p","p","p","p","p"
"~~(((p->~~~~~(p->~~p))->(p->~~~p))->(p->p))","p","p","p","p","p"
"~(p->~~(~(~(p->(p->(~p->~~p)))->p)->~~~~p))","p","p","p","p","p"
"~~~~(~(~(~p->(p->~~(~~~p->p)))->p)->p)->p","p","p","p","p","p"
"~~~((~~~(p->~(~(p->p)->p))->~~p)->~p)->~p","p","p","p","p","p"
"~~((p->~~~~~~p)->(~p->(p->(~~p->(p->~p)))))","p","p","p","p","p"
"~~((~~(p->~p)->~p)->~(p->~(~p->~~(p->~p))))","p","p","p","p","p"
"~((~p->(p->~(~p->~~((~~~~p->p)->p))))->~~p)","p","p","p","p","p"
"((~p->p)->p)->~~~~(p->(~p->~(~~~p->~~p)))","p","p","p","p","p"
"~~(~~(~(~~(~~((~p->p)->p)->p)->p)->~p)->~p)","p","p","p","p","p"
"~~~(p->(~~(p->~((p->p)->~~p))->(~~~p->~p)))","p","p","p","p","p"
"~(~~(~(p->p)->~p)->(p->(~(p->~~~p)->~~~p)))","p","p","p","p","p"
"~~~(~~(~((p->p)->~p)->~(~p->~(~p->~p)))->p)","p","p","p","p","p"
"~((~p->~~~(~(~~p->p)->(~p->(~~~p->p))))->p)","p","p","p","p","p"
"~~~~~((~(p->~p)->(~~(~~~p->p)->(p->p)))->p)","p","p","p","p","p"
"p->(p->~~((~(p->~~~~p)->(p->~p))->~~~~p))","p","p","p","p","p"
"~~(~(p->(~(~~(~~~~p->(p->p))->p)->~~p))->p)","p","p","p","p","p"
"~~~~(p->(~p->((p->p)->~~~~~~(~p->p))))->p","p","p","p","p","p"
"((~~~p->((~p->p)->~~p))->~(p->~~~~p))->~p","p","p","p","p","p"
"~~~(~(~~p->((~p->(~p->~~p))->p))->~~p)->p","p","p","p","p","p"
"~~((p->(p->~(~p->~~~~~~(p->p))))->~p)->~p","p","p","p","p","p"
"~p->((~p->~(~~~~~(p->~~~p)->~(p->p)))->p)","p","p","p","p","p"
"~~~(~(~~~~(~p->~p)->(p->~~(p->(p->p))))->p)","p","p","p","p","p"
"~(~((((~p->~~(p->~~~p))->p)->~~~p)->~p)->p)","p","p","p","p","p"
"(p->~p)->((p->p)->~(~~(~~p->~~~p)->~~~p))","p","p","p","p","p"
"(p->~(~(~~p->~p)->~(~p->(~p->~~~~p))))->p","p","p","p","p","p"
"~((~~(~~(~~p->p)->p)->p)->~~(~(~~p->p)->p))","p","p","p","p","p"
"~~((~p->~p)->p)->~(~~~~~(~p->~(p->p))->p)","p","p","p","p","p"
"~~(p->~(p->(~~(~~(~p->~~p)->p)->~(p->~p))))","p","p","p","p","p"
"~(~p->~p)->~~~~(((p->p)->~p)->(p->~~~~p))","p","p","p","p","p"
"~~((p->(((~p->~p)->p)->(~p->~~~~~p)))->~~p)","p","p","p","p","p"
"~((~p->(p->p))->~(~(~~~~p->p)->~~~~(p->p)))","p","p","p","p","p"
"~(~((~p->~~~((p->~~p)->p))->~~(~p->~p))->p)","p","p","p","p","p"
"p->~~((~p->~~(~p->(~~p->~(~p->~p))))->~p)","p","p","p","p","p"
"~(~~~(p->~(~(p->~p)->~((p->p)->~~~~p)))->p)","p","p","p","p","p"
"~(~(~~(~p->(~~p->p))->p)->~(~~~(p->p)->~p))","p","p","p","p","p"
"p->(~(~~~p->(~(~~p->p)->~~(p->p)))->~~~p)","p","p","p","p","p"
"~~~~p->(~p->~((~~~((p->~~p)->p)->p)->~p))","p","p","p","p","p"
"~(~~~((p->p)->~~p)->(~~(~~p->~p)->~(p->p)))","p","p","p","p","p"
"~~~((p->~(~(p->~~p)->p))->(~~p->(~p->~~p)))","p","p","p","p","p"
